Sacu_v1.1_s1503.g028048	Azfi_s0076.g037908	78.378	185	13	6	1	175	1	168	1.54e-94	271
Sacu_v1.1_s1503.g028048	Azfi_s0004.g008455	42.958	142	62	2	11	150	128	252	3.03e-35	129
Sacu_v1.1_s1503.g028048	Azfi_s0021.g015882	43.704	135	59	1	3	137	57	174	3.26e-34	126
Sacu_v1.1_s1503.g028048	Azfi_s0014.g013584	47.619	126	49	2	10	135	8	116	2.20e-32	120
Sacu_v1.1_s1503.g028048	Azfi_s0129.g048859	46.774	124	48	3	14	136	61	167	1.50e-31	118
Sacu_v1.1_s1503.g028048	Azfi_s0035.g025508	41.216	148	70	1	14	161	1	131	1.78e-31	114
Sacu_v1.1_s1503.g028048	Azfi_s0005.g009154	42.568	148	62	3	10	151	8	138	4.68e-31	117
Sacu_v1.1_s1503.g028048	Azfi_s0041.g026722	45.902	122	49	1	15	136	17	121	7.06e-31	115
Sacu_v1.1_s1503.g028048	Azfi_s0008.g011612	43.548	124	53	1	14	137	22	128	1.36e-30	114
Sacu_v1.1_s1503.g028048	Azfi_s0010.g012145	44.628	121	50	1	14	134	1	104	3.50e-30	114
Sacu_v1.1_s1503.g028048	Azfi_s0005.g009119	46.721	122	48	1	14	135	1	105	1.09e-29	113
Sacu_v1.1_s1503.g028048	Azfi_s0001.g000839	40.157	127	59	1	12	138	11	120	1.58e-29	108
Sacu_v1.1_s1503.g028048	Azfi_s0016.g014344	38.776	147	66	4	14	154	12	140	9.18e-29	110
Sacu_v1.1_s1503.g028048	Azfi_s0006.g009830	42.149	121	53	1	13	133	3	106	1.24e-28	107
Sacu_v1.1_s1503.g028048	Azfi_s0003.g007581	47.500	120	46	2	14	133	1	103	3.25e-28	105
Sacu_v1.1_s1503.g028048	Azfi_s0445.g070637	44.715	123	51	1	14	136	1	106	4.48e-28	107
Sacu_v1.1_s1503.g028048	Azfi_s0938.g093183	42.308	130	50	2	17	138	234	346	6.23e-28	108
Sacu_v1.1_s1503.g028048	Azfi_s0010.g012085	39.259	135	61	2	14	148	12	125	9.76e-28	107
Sacu_v1.1_s1503.g028048	Azfi_s0163.g054240	38.849	139	63	3	16	154	63	179	3.03e-27	105
Sacu_v1.1_s1503.g028048	Azfi_s0113.g045874	38.519	135	62	3	14	148	12	125	4.67e-27	105
Sacu_v1.1_s1503.g028048	Azfi_s0018.g014830	45.763	118	46	2	16	133	31	130	5.12e-27	105
Sacu_v1.1_s1503.g028048	Azfi_s0007.g010866	46.610	118	45	2	16	133	7	106	5.33e-27	105
Sacu_v1.1_s1503.g028048	Azfi_s1083.g097159	45.763	118	46	2	16	133	140	239	1.74e-26	104
Sacu_v1.1_s1503.g028048	Azfi_s0629.g080127	45.763	118	46	2	16	133	69	168	2.40e-26	103
Sacu_v1.1_s1503.g028048	Azfi_s0217.g058506	40.310	129	58	2	14	140	1	112	8.81e-26	100
Sacu_v1.1_s1503.g028048	Azfi_s0003.g007699	40.945	127	53	4	14	135	16	125	3.30e-25	97.8
Sacu_v1.1_s1503.g028048	Azfi_s0812.g087843	41.600	125	55	2	14	138	99	205	1.58e-23	95.5
